Code 2010,Code 2013,Change,Explanation (new = old)
EL1,,Boundary shift,
,EL5,New region,recalculation by NSI
EL2,,Boundary shift,
,EL6,New region,recalculation by NSI
FR9,,Boundary shift,
,FRA,New region,recalculation by NSI
EL11,EL51,Code change,EL51 = EL11
EL12,EL52,Code change,EL52 = EL12
EL13,EL53,Code change,EL53 = EL13
EL21,EL54,Code change,EL54 = EL21
EL14,EL61,Code change,EL61 = EL14
EL22,EL62,Code change,EL62 = EL22
EL23,EL63,Code change,EL63 = EL23
EL24,EL64,Code change,EL64 = EL24
EL25,EL65,Code change,EL65 = EL25
FR91,,Boundary shift,
,FRA1,New region,recalculation by NSI
FR92,FRA2,Code change,FRA2 = FR92
FR93,FRA3,Code change,FRA3 = FR93
FR94,FRA4,Name change,FRA4 = FR94
,FRA5,New region,
PT17,PT17,Name change,n.a.
SI01,,Boundary shift,
,SI03,New region,recalculation by NSI
SI02,,Boundary shift,
,SI04,New region,recalculation by NSI
UKI1,,Split,
UKI1 (part),UKI3,New region,UKI3 + UKI4 = UKI1; recalculation by NSI
UKI1 (part),UKI4,New region,UKI3 + UKI4 = UKI1; recalculation by NSI
UKI2,,Split,
UKI2 (part),UKI5,New region,UKI5 + UKI6 + UKI7 = UKI2; recalculation by NSI
UKI2 (part),UKI6,New region,UKI5 + UKI6 + UKI7 = UKI2; recalculation by NSI
UKI2 (part),UKI7,New region,UKI5 + UKI6 + UKI7 = UKI2; recalculation by NSI
CZ063,CZ063,Name change,n.a.
DE801,,Merged,
DE808,,Split,
DE80B,,Merged,
DE80C,,Merged,
DE80F,,Merged,
DE80I,,Merged,
DE802,,Merged,
,DE80J,New region,recalculation by NSI
,DE80N,New region,recalculation by NSI
DE807,DE80K (part),Merged,
DE809,DE80K (part),Merged,
,DE80K,New region,DE80K = DE807 + DE809
DE805,DE80L (part),Merged,
DE80D,DE80L (part),Merged,
DE80H,DE80L (part),Merged,
,DE80L,New region,DE80L = DE805 + DE80D + DE80H
DE806,DE80M (part),Merged,
DE80E,DE80M (part),Merged,
,DE80M,New region,DE80M = DE806 + DE80E
DE80A,DE80O (part),Merged,
DE80G,DE80O (part),Merged,
,DE80O,New region,DE80O = DE80A + DE80G
DE938,DE938,Name change,
EL111,EL511,Code change,EL511 = EL111
